2025-07-05 15:32:08 | INFO     | CELERY | 📄 Starting PDF processing task for user 17
2025-07-05 15:32:08 | INFO     | CELERY | 📋 Task ID: 68dccb92-0a9d-4996-803b-801177709179
2025-07-05 15:32:08 | INFO     | CELERY | 📁 File: research paper - whispering Llama.pdf
2025-07-05 15:32:08 | INFO     | CELERY | 🗂️ Path: D:\FastAPI\social_media_api\backend\app\utils\../../uploads\user_17\20250705153208_research paper - whispering Llama.pdf
2025-07-05 15:32:08 | INFO     | CELERY | 🤖 Initializing embeddings model for the first time - this may take a few minutes...
2025-07-05 15:32:08 | INFO     | CELERY | 📥 Downloading/loading BAAI/bge-small-en-v1.5 model...
2025-07-05 15:32:21 | SUCCESS  | CELERY | ✅ Embeddings model loaded successfully - subsequent uploads will be faster!
2025-07-05 15:32:22 | INFO     | CELERY | 📖 Loading and extracting text from PDF...
2025-07-05 15:32:22 | SUCCESS  | CELERY | 📄 PDF text extracted successfully - 40005 characters
2025-07-05 15:32:22 | INFO     | CELERY | ✂️ Splitting text into chunks...
2025-07-05 15:32:22 | SUCCESS  | CELERY | 📑 Text split into 50 chunks
2025-07-05 15:32:22 | INFO     | CELERY | 🧠 Creating embeddings...
2025-07-05 15:32:27 | SUCCESS  | CELERY | 🔢 Vector store created with 50 vectors
2025-07-05 15:32:27 | INFO     | CELERY | 💾 Saving vector store...
2025-07-05 15:32:27 | SUCCESS  | CELERY | 💾 Vector store saved to: D:\FastAPI\social_media_api\backend\app\services\../../vector_stores\user_17\current_pdf
2025-07-05 15:32:27 | INFO     | CELERY | 🗃️ Finalizing database update...
2025-07-05 15:32:27 | SUCCESS  | CELERY | ✅ PDF processing completed successfully for user 17
2025-07-05 15:32:27 | INFO     | CELERY | 📊 Final stats: 50 vectors, 50 chunks
2025-07-05 15:33:41 | INFO     | CELERY | 📄 Starting PDF processing task for user 17
2025-07-05 15:33:41 | INFO     | CELERY | 📋 Task ID: 3a1a5c6d-9200-478c-983d-085381c47eda
2025-07-05 15:33:41 | INFO     | CELERY | 📁 File: Arun-Resume.pdf
2025-07-05 15:33:41 | INFO     | CELERY | 🗂️ Path: D:\FastAPI\social_media_api\backend\app\utils\../../uploads\user_17\20250705153341_Arun-Resume.pdf
2025-07-05 15:33:41 | INFO     | CELERY | ⚡ Using cached embeddings model - fast loading!
2025-07-05 15:33:42 | INFO     | CELERY | 📖 Loading and extracting text from PDF...
2025-07-05 15:33:42 | SUCCESS  | CELERY | 📄 PDF text extracted successfully - 3066 characters
2025-07-05 15:33:42 | INFO     | CELERY | ✂️ Splitting text into chunks...
2025-07-05 15:33:42 | SUCCESS  | CELERY | 📑 Text split into 4 chunks
2025-07-05 15:33:42 | INFO     | CELERY | 🧠 Creating embeddings...
2025-07-05 15:33:42 | SUCCESS  | CELERY | 🔢 Vector store created with 4 vectors
2025-07-05 15:33:42 | INFO     | CELERY | 💾 Saving vector store...
2025-07-05 15:33:42 | SUCCESS  | CELERY | 💾 Vector store saved to: D:\FastAPI\social_media_api\backend\app\services\../../vector_stores\user_17\current_pdf
2025-07-05 15:33:42 | INFO     | CELERY | 🗃️ Finalizing database update...
2025-07-05 15:33:42 | SUCCESS  | CELERY | ✅ PDF processing completed successfully for user 17
2025-07-05 15:33:42 | INFO     | CELERY | 📊 Final stats: 4 vectors, 4 chunks
2025-07-05 15:35:23 | INFO     | CELERY | 📄 Starting PDF processing task for user 25
2025-07-05 15:35:23 | INFO     | CELERY | 📋 Task ID: 4eea06fc-52fe-4739-a5b8-c7b4d6b7a1f1
2025-07-05 15:35:23 | INFO     | CELERY | 📁 File: Neurific Internship Offer Letter (1).pdf
2025-07-05 15:35:23 | INFO     | CELERY | 🗂️ Path: D:\FastAPI\social_media_api\backend\app\utils\../../uploads\user_25\20250705153523_Neurific Internship Offer Letter (1).pdf
2025-07-05 15:35:23 | INFO     | CELERY | ⚡ Using cached embeddings model - fast loading!
2025-07-05 15:35:24 | INFO     | CELERY | 📖 Loading and extracting text from PDF...
2025-07-05 15:35:24 | SUCCESS  | CELERY | 📄 PDF text extracted successfully - 3363 characters
2025-07-05 15:35:24 | INFO     | CELERY | ✂️ Splitting text into chunks...
2025-07-05 15:35:24 | SUCCESS  | CELERY | 📑 Text split into 5 chunks
2025-07-05 15:35:24 | INFO     | CELERY | 🧠 Creating embeddings...
2025-07-05 15:35:24 | SUCCESS  | CELERY | 🔢 Vector store created with 5 vectors
2025-07-05 15:35:24 | INFO     | CELERY | 💾 Saving vector store...
2025-07-05 15:35:24 | SUCCESS  | CELERY | 💾 Vector store saved to: D:\FastAPI\social_media_api\backend\app\services\../../vector_stores\user_25\current_pdf
2025-07-05 15:35:24 | INFO     | CELERY | 🗃️ Finalizing database update...
2025-07-05 15:35:24 | SUCCESS  | CELERY | ✅ PDF processing completed successfully for user 25
2025-07-05 15:35:24 | INFO     | CELERY | 📊 Final stats: 5 vectors, 5 chunks
2025-07-05 15:35:31 | INFO     | CELERY | 📄 Starting PDF processing task for user 17
2025-07-05 15:35:31 | INFO     | CELERY | 📋 Task ID: 44fe10cf-45a9-4450-8d7d-efdca2bcb5b0
2025-07-05 15:35:31 | INFO     | CELERY | 📁 File: HR Policies & Process - all in one 6.10.25.docx-13-15.pdf
2025-07-05 15:35:31 | INFO     | CELERY | 🗂️ Path: D:\FastAPI\social_media_api\backend\app\utils\../../uploads\user_17\20250705153531_HR Policies & Process - all in one 6.10.25.docx-13-15.pdf
2025-07-05 15:35:31 | INFO     | CELERY | ⚡ Using cached embeddings model - fast loading!
2025-07-05 15:35:31 | INFO     | CELERY | 📖 Loading and extracting text from PDF...
2025-07-05 15:35:32 | SUCCESS  | CELERY | 📄 PDF text extracted successfully - 5814 characters
2025-07-05 15:35:32 | INFO     | CELERY | ✂️ Splitting text into chunks...
2025-07-05 15:35:32 | SUCCESS  | CELERY | 📑 Text split into 8 chunks
2025-07-05 15:35:32 | INFO     | CELERY | 🧠 Creating embeddings...
2025-07-05 15:35:32 | SUCCESS  | CELERY | 🔢 Vector store created with 8 vectors
2025-07-05 15:35:32 | INFO     | CELERY | 💾 Saving vector store...
2025-07-05 15:35:32 | SUCCESS  | CELERY | 💾 Vector store saved to: D:\FastAPI\social_media_api\backend\app\services\../../vector_stores\user_17\current_pdf
2025-07-05 15:35:32 | INFO     | CELERY | 🗃️ Finalizing database update...
2025-07-05 15:35:32 | SUCCESS  | CELERY | ✅ PDF processing completed successfully for user 17
2025-07-05 15:35:32 | INFO     | CELERY | 📊 Final stats: 8 vectors, 8 chunks
